candidate_id,rank,score,reasoning
CAND_0000032,15,0.109411157,"8.1 yrs, currently .NET Developer at Cognizant (Gurgaon, Haryana). Relevant listed skills include Embeddings, Python, but career evidence is weaker than the top matches Concern: notice period is 150 days; not marked open to work."
CAND_0000027,16,0.010393359,"3.9 yrs, currently DevOps Engineer at Infosys (Kolkata, West Bengal). Relevant listed skills include Information Retrieval, PEFT, but career evidence is weaker than the top matches Concern: notice period is 90 days."
CAND_0000002,17,0.000000000,"12.5 yrs, currently Operations Manager at Wipro (Chennai, Tamil Nadu). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: some profile-consistency risk."
CAND_0000003,18,0.000000000,"1.1 yrs, currently Customer Support at TCS (Austin). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: notice period is 150 days; not marked open to work."
CAND_0000004,19,0.000000000,"3.8 yrs, currently Marketing Manager at Dunder Mifflin (Sydney). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: notice period is 120 days; not marked open to work."
CAND_0000005,20,0.000000000,"11.0 yrs, currently Accountant at Stark Industries (Gurgaon, Haryana). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: some profile-consistency risk."
CAND_0000006,21,0.000000000,"6.0 yrs, currently Business Analyst at Wayne Enterprises (Austin). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: notice period is 150 days; not marked open to work."
CAND_0000007,22,0.000000000,"5.5 yrs, currently Civil Engineer at Wipro (Gurgaon, Haryana). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000008,23,0.000000000,"3.6 yrs, currently Operations Manager at Wipro (Noida, Uttar Pradesh). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: notice period is 90 days; not marked open to work."
CAND_0000009,24,0.000000000,"11.0 yrs, currently Mechanical Engineer at Dunder Mifflin (New York). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 150 days; not marked open to work."
CAND_0000012,25,0.000000000,"1.1 yrs, currently Operations Manager at Stark Industries (Chandigarh, Chandigarh). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: not marked open to work; some profile-consistency risk."
CAND_0000013,26,0.000000000,"1.1 yrs, currently Civil Engineer at Globex Inc (Dubai). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: some profile-consistency risk."
CAND_0000016,27,0.000000000,"5.3 yrs, currently Accountant at Infosys (Gurgaon, Haryana). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: some profile-consistency risk."
CAND_0000017,28,0.000000000,"12.3 yrs, currently Accountant at Wipro (Bangalore, Karnataka). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 90 days; not marked open to work."
CAND_0000019,29,0.000000000,"6.5 yrs, currently Project Manager at Wayne Enterprises (Trivandrum, Kerala). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000020,30,0.000000000,"6.3 yrs, currently Mechanical Engineer at Wipro (Ahmedabad, Gujarat). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: not marked open to work; some profile-consistency risk."
CAND_0000021,31,0.000000000,"14.5 yrs, currently Project Manager at Wipro (Bhubaneswar, Odisha). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000022,32,0.000000000,"1.1 yrs, currently Mechanical Engineer at Hooli (Sydney). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: notice period is 150 days; some profile-consistency risk."
CAND_0000024,33,0.000000000,"7.5 yrs, currently HR Manager at TCS (Trivandrum, Kerala). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: not marked open to work; some profile-consistency risk."
CAND_0000026,34,0.000000000,"6.8 yrs, currently Graphic Designer at Initech (Kochi, Kerala). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: not marked open to work; some profile-consistency risk."
CAND_0000028,35,0.000000000,"1.1 yrs, currently Operations Manager at Wipro (Dubai). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000029,36,0.000000000,"7.2 yrs, currently Business Analyst at Wipro (Noida, Uttar Pradesh). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000030,37,0.000000000,"10.0 yrs, currently Marketing Manager at Dunder Mifflin (Kochi, Kerala). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: not marked open to work; some profile-consistency risk."
CAND_0000033,38,0.000000000,"8.6 yrs, currently Graphic Designer at Wipro (Pune, Maharashtra). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: some profile-consistency risk; low recruiter response rate."
CAND_0000034,39,0.000000000,"14.5 yrs, currently Business Analyst at Wipro (Ahmedabad, Gujarat). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: notice period is 90 days; not marked open to work."
CAND_0000036,40,0.000000000,"11.3 yrs, currently Project Manager at Initech (Trivandrum, Kerala). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: some profile-consistency risk."
CAND_0000037,41,0.000000000,"14.3 yrs, currently Business Analyst at Stark Industries (Dubai). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000039,42,0.000000000,"3.9 yrs, currently Marketing Manager at Acme Corp (Bhubaneswar, Odisha). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work; some profile-consistency risk."
CAND_0000040,43,0.000000000,"1.6 yrs, currently Customer Support at Globex Inc (Kochi, Kerala). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: notice period is 90 days; not marked open to work."
CAND_0000041,44,0.000000000,"13.7 yrs, currently Operations Manager at Hooli (Delhi, Delhi). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 90 days; some profile-consistency risk."
CAND_0000042,45,0.000000000,"5.0 yrs, currently HR Manager at Wayne Enterprises (Berlin). Career evidence shows search or retrieval evidence, production shipping evidence, which maps to the JD's production retrieval/ranking focus Concern: not marked open to work; some profile-consistency risk."
CAND_0000045,46,0.000000000,"12.2 yrs, currently Project Manager at Initech (Indore, Madhya Pradesh). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: some profile-consistency risk."
CAND_0000046,47,0.000000000,"7.8 yrs, currently Mechanical Engineer at Hooli (London). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: not marked open to work; some profile-consistency risk."
CAND_0000047,48,0.000000000,"2.4 yrs, currently Project Manager at TCS (Kochi, Kerala). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: notice period is 90 days; not marked open to work."
CAND_0000049,49,0.000000000,"11.8 yrs, currently Mechanical Engineer at Wayne Enterprises (Berlin). Profile has limited direct retrieval/ranking evidence, so this is included mainly on adjacent engineering and platform signals Concern: notice period is 120 days; not marked open to work."
CAND_0000050,50,0.000000000,"13.5 yrs, currently Business Analyst at Infosys (Gurgaon, Haryana). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 90 days; not marked open to work."
